ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US2502800","Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA, MA",2014,"2014","true","true",1.8972096727509327,1682,995.7027587531599,89598.14268727705,21492.482238798515,15,"woburn-melrose-cities-saugus-wakefield-&-stoneham-towns-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2502400","Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA, MA",2014,"2014","true","true",2.487508548983441,1755,1013.4942759964492,118939.56353276354,40231.110058438964,19,"middlesex-(far-southwest)-norfolk-(northwest)-&-worcester-(far-east)-counties-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2501901","Westfield & Holyoke Cities PUMA, MA",2014,"2014","true","true",0.5992424511220601,486,539.349360446487,50124.53086419753,36622.47651653231,5,"westfield-&-holyoke-cities-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2501900","Springfield City PUMA, MA",2014,"2014","true","true",0.9841750303347121,637,616.0811781182555,30772.004709576137,12236.232828492592,5,"springfield-city-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US4805305","Austin City (Northwest) PUMA, TX",2014,"2014","true","true",4.534034249825198,2729,1248.1903261739078,156692.72773909857,56203.35891936188,29,"austin-city-(northwest)-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2501400","Middlesex (West Central) & Worcester (East) Counties PUMA, MA",2014,"2014","true","true",2.7002061508192052,1731,1005.2541681609094,180027.04737146158,72654.89555458062,20,"middlesex-(west-central)-&-worcester-(east)-counties-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2501300","Billerica, Andover, Tewksbury & Wilmington Towns PUMA, MA",2014,"2014","true","true",1.597855850902648,1261,863.6704277922314,144449.48057097543,71840.66343275084,10,"billerica-andover-tewksbury-&-wilmington-towns-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2500703","Salem, Beverly, Gloucester & Newburyport Cities PUMA, MA",2014,"2014","true","true",0.7816001975383691,907,736.0209285424319,104222.4487320838,37414.02662291562,10,"salem-beverly-gloucester-&-newburyport-cities-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US2500702","Amesbury Town City PUMA, MA",2014,"2014","true","true",1.584953236442654,1034,782.1392225645224,104848.89361702128,26906.822061494266,11,"amesbury-town-city-puma-ma","Computer and Information Sciences and Support Services","11"
"79500US4805306","Austin City (Central) PUMA, TX",2014,"2014","true","true",1.8592826084058292,1675,993.8533585679523,86853.08597014926,40157.46250082126,14,"austin-city-(central)-puma-tx","Computer and Information Sciences and Support Services","11"
